factor_id,factor_name,category,subcategory,description,data_source,lookback_period,in_five_factor_model,five_factor_weight,in_xgboost_model,standalone_best_sharpe,standalone_best_ann_return,standalone_best_calmar,standalone_best_hit_rate,standalone_best_t_stat,standalone_best_basket,composite_five_factor_sharpe_top50,notes
momentum_12m,Momentum 12m-1m,Momentum,Price Momentum,"12-month cumulative return ending 1 month ago (classic skip-1 momentum). Captures medium-term price trend continuation.",CRSP Monthly Returns,12 months,yes,0.10,yes,,,,,,,0.610,"Core momentum factor; skips last month to avoid short-term reversal. Low standalone weight due to sector-neutral composite."
ret_1m,Return 1 Month,Momentum,Short-term Return,"Prior 1-month return. Often negative predictor (reversal) in cross-section.",CRSP Monthly Returns,1 month,no,,yes,,,,,,,,"XGBoost only. Can be a reversal signal at 1M horizon."
ret_3m,Return 3 Months,Momentum,Short-term Momentum,"3-month cumulative return. Intermediate-term momentum.",CRSP Monthly Returns,3 months,no,,yes,,,,,,,,"XGBoost only."
ret_6m,Return 6 Months,Momentum,Intermediate Momentum,"6-month cumulative return. Intermediate-term momentum.",CRSP Monthly Returns,6 months,no,,yes,,,,,,,,"XGBoost only."
mom_12m_1,Momentum 12m skip-1,Momentum,Price Momentum,"Same as momentum_12m — 12-month return with 1-month skip. XGBoost labels it differently.",CRSP Monthly Returns,12 months,no,,yes,,,,,,,,"Identical to momentum_12m in construction. XGBoost feature name."
vol_12m,Volatility 12 Months,Risk,Realized Volatility,"12-month rolling standard deviation of monthly returns. Low vol = lower risk-adjusted cost of holding.",CRSP Monthly Returns,12 months,no,,yes,,,,,,,,"XGBoost only. Low-volatility anomaly factor. High vol stocks tend to underperform risk-adjusted."
beta_spy,Market Beta (SPY),Risk,Systematic Risk,"12-month rolling OLS beta to SPY. Stocks with high beta underperform on risk-adjusted basis (Frazzini & Pedersen 2014).",CRSP + yfinance (SPY),12 months,no,,yes,,,,,,,,"XGBoost only. Betting-against-beta factor."
fund_quality,Fundamental Quality (Composite),Quality,Composite,"Equal-weight composite of ROE TTM, neg-accruals, gross profitability, and FCF yield — all sector-neutral z-scored. Captures earnings quality and profitability.",Compustat Quarterly,TTM / quarterly,yes,0.25,no,,,,,,,0.610,"Highest weight in 5-factor model. Sub-components: roe_ttm + neg_accruals + gross_prof + fcf_yield. Sector-neutral."
roe_ttm,ROE (TTM),Quality,Profitability,"Return on equity — trailing 12-month net income / book equity. Measures management efficiency and capital allocation quality.",Compustat Quarterly,TTM (4 quarters),yes (sub-component),,"yes (as feature)",0.539,16.34,0.607,58.7,3.10,50,,Best standalone fundamental signal (Sharpe 0.539). Strong t-stat of 3.1. Core quality signal.
fcf_yield,FCF Yield,Quality,Cash Generation,"Free cash flow / market cap. Measures cash generation efficiency. Combines value and quality — high FCF yield stocks tend to be underpriced relative to cash flow.",Compustat Quarterly,TTM,yes (sub-component),,"yes (as feature)",0.254,17.71,0.212,49.7,1.41,25,,FCF signals are noisy but combine value + quality. Large spread between top/bottom quintiles.
neg_accruals,Negative Accruals (Quality),Quality,Earnings Quality,"Negative of (net income - operating cash flow) / total assets. Low accruals = earnings backed by cash flow = higher quality (Sloan 1996). High neg_accruals = good.",Compustat Quarterly,TTM,yes (sub-component),,"yes (as feature)",0.084,15.17,0.153,45.8,0.50,25,,"Standalone sharpe is low due to high vol (109%) — used as composite sub-component only. Very strong theoretical backing."
gross_prof,Gross Profitability,Quality,Profitability,"Revenue / total assets. Novy-Marx (2013) gross profitability measure. Predicts returns even after controlling for value.",Compustat Quarterly,Quarterly,yes (sub-component),,"yes (as feature)",0.089,7.42,0.120,54.2,1.14,50,,"Standalone gross_margin sharpe is weak but improves when combined with quality composite."
earnings_yield,Earnings Yield,Value,Earnings-to-Price,"Earnings / price (inverse P/E). Classic value factor. High earnings yield = cheap stock.",Compustat Quarterly,TTM,no,,yes,0.194,16.40,0.207,46.9,1.11,25,,"Used in engine.py fundamental composite and XGBoost. High vol (53%) reduces standalone sharpe."
asset_turnover,Asset Turnover,Quality,Operational Efficiency,"Revenue / total assets. Measures how efficiently management uses assets to generate sales. High turnover = better operational quality.",Compustat Quarterly,Quarterly,no,,no,0.499,16.49,0.469,55.3,2.86,100,,"Strongest standalone non-ROE fundamental signal. Not in 5-factor model but tested in run_all.py. Sharpe 0.499."
gross_margin,Gross Margin,Quality,Profitability,"Gross profit / revenue. Operating leverage and pricing power indicator. Different from gross_prof (which is vs assets).",Compustat Quarterly,Quarterly,no,,no,0.089,7.42,0.120,54.2,1.14,50,,"Weak standalone. High vol environments dominate. Low t-stat."
leverage,Leverage (Low),Quality,Balance Sheet Risk,"Negative of debt/equity or debt/assets. Low leverage = financial stability, less bankruptcy risk. Sorted descending so high score = low leverage.",Compustat Quarterly,Quarterly,no,,no,0.133,9.70,0.117,55.6,1.09,25,,"Weak standalone signal — leverage is mostly priced in by market. High vol reduces sharpe."
neg_pb,Value (neg P/B),Value,Book-to-Market,"Negative of price-to-book ratio = book-to-market. Classic Fama-French HML factor. Cheap stocks have high book-to-market.",Compustat Quarterly,Quarterly,no,,no,0.084,11.86,0.121,42.1,0.56,25,,"Weakest signal in tests — P/B value has underperformed since 2010 growth dominance. Very high vol (74%). Avoid standalone."
sector_rs_3m,Sector Relative Strength 3M,Sector/Momentum,Sector Momentum,"Each stock inherits the 3-month relative return (vs SPY) of its GICS sector ETF. Stocks in outperforming sectors score higher. Uses XLC/XLY/XLP/XLE/XLF/XLV/XLI/XLB/XLRE/XLK/XLU.",yfinance (sector ETFs) + Compustat (SIC map),3 months,yes,0.25,yes,,,,,,,0.610,"Equal weight to fund_quality and analyst_rev_3m. Sector momentum is persistent over 1-3 month horizons. Key differentiator."
analyst_rev_3m,Analyst Recommendation Revision 3M,Analyst,Sentiment,"3-month change in IBES consensus analyst recommendation (1=Strong Buy to 5=Strong Sell, so positive rev_3m = analysts getting more bullish). Leading indicator of earnings surprises.",IBES Recommendation Summary,3 months,yes,0.25,yes,,,,,,,0.610,"Equal weight to fund_quality and sector_rs. Analyst upgrades precede price moves. Requires IBES data access."
oil_beta_tilt,Oil Beta Tilt,Macro/Sector,Regime-Conditional Beta,"Rolling 36-month OLS beta of sector ETF to WTI crude × rolling z-score of 3-month WTI cumulative return. Positive when oil is rising and the stock's sector has positive oil beta (e.g. XLE). Negative for oil consumers (e.g. airlines) when oil rises.",yfinance (CL=F + ETFs) + Compustat (SIC map),36-month rolling beta / 3-month regime,yes,0.15,yes,,,,,,,0.610,"F5 — newest factor. Lowest weight. Cross-sectionally z-scored so only changes relative rankings. Energy (XLE beta +0.4), Airlines (beta -0.2), Tech (~0.0)."
ma_crossover,MA Crossover (Technical),Technical,Trend Following,"Short-period MA / long-period MA - 1. Positive = short MA above long MA = uptrend. Configurable windows (e.g. 3m/12m). Combined with momentum in engine.py technical composite.",CRSP Monthly Returns / Prices,Configurable (default 3m/12m),no,,no,,,,,,,,"Engine.py only. Part of technical composite. Not tested standalone. Parameter-swept in run_all.py technical suite."
sector_val,Sector Valuation (P/B),Value,Sector Mean-Reversion,"Rolling 36-month z-score of sector median P/B ratio — negative so cheap sectors score high. Stocks inherit their sector's relative cheapness.",Compustat Quarterly (pb_ratio + SIC),36 months,no,,no,,,,,,,,"Engine.py only. Requires pb_ratio column in Compustat. Sector-level value contrarian signal."
hy_spread_widening,HY Spread Widening (Macro),Macro,Credit Regime,"Rolling z-score of high-yield credit spread changes. Negative = spreads narrowing = risk-on (score is negated so high = good). Strong regime overlay signal (t=-2.36 on monthly IC).",FRED (ICE BofA HY OAS),36-month rolling,no,,no,0.357,10.13,0.452,33.8,3.21,,"","Best macro timing signal (Sharpe 0.357, Calmar 0.452 as regime overlay). Used as regime overlay in 5-factor model for invested fraction, not in composite score."
CPIAUCSL_zscore,CPI Inflation Z-Score (Macro),Macro,Inflation Regime,"Rolling z-score of CPI level. High inflation = headwind for equities (negated in composite). Used in macro regime score.",FRED (CPIAUCSL),36-month rolling,no,,no,0.336,11.35,0.336,36.4,2.72,,"","Second-best macro signal. Negated in macro_regime composite (high inflation = bad for stocks)."
PAYEMS_zscore,Payrolls Z-Score (Macro),Macro,Labor Market Regime,"Rolling z-score of nonfarm payrolls. Hot labor market = Fed tightening risk = headwind (negated). Used in macro regime score.",FRED (PAYEMS),36-month rolling,no,,no,0.203,9.24,0.156,42.5,2.03,,"","Weaker macro signal than HY spread or CPI. Can be coincident rather than leading."
T10Y2Y_zscore,10Y-2Y Yield Curve Z-Score (Macro),Macro,Recession Risk,"Rolling z-score of 10Y minus 2Y treasury spread. Inversion (negative) signals recession risk. Used in macro regime.",FRED (T10Y2Y),36-month rolling,no,,no,0.121,7.26,0.123,33.8,1.82,,"","Weakest standalone macro signal — inversion leads recession by 12-24 months, too early for monthly timing."
T10Y3M_zscore,10Y-3M Yield Curve Z-Score (Macro),Macro,Recession Risk,"Rolling z-score of 10Y minus 3M treasury spread. Better near-term recession signal than 10Y-2Y.",FRED (T10Y3M),36-month rolling,no,,no,0.130,7.27,0.123,32.5,1.95,,"","Slightly better than 10Y-2Y for timing but still weak standalone. Better as composite with HY spread."
macro_regime,Macro Regime Composite,Macro,Regime Overlay,"Composite of CPIAUCSL_zscore (-1) + PAYEMS_zscore (-1) + hy_spread_widening (-1) = risk-on when all negative (deflating, loose, tightening spreads). Used to scale invested fraction: score<-1→70% invested, score<-0.5→85%, else→100%.",FRED,36-month rolling,no,,no,,,,,,,,"Not a stock-selection factor — regime overlay only. Reduces equity exposure in macro stress. Implemented in five_factor_model.py and engine.py."
