,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
2010-02-28,0.050183599999999995,0.045969096774193544,0.037469290322580645,0.0447775,0.04833793548387096,0.03944886666666666,0.026885633333333336,0.0474187,0.0210337,0.018077533333333333
2010-03-31,0.07311696666666667,0.09069046666666666,0.058294354838709685,0.06674083333333333,0.05322206666666666,0.07244703333333333,0.052794299999999995,0.05571883333333334,0.06476126666666666,0.05912946666666666
2010-04-30,0.047918724137931024,0.04095529032258065,0.02162858064516129,0.03350787096774193,0.026217451612903227,0.010091387096774197,0.019471833333333334,0.023861100000000003,0.009302466666666669,0.026989366666666674
2010-05-31,-0.08362866666666664,-0.06842970967741936,-0.07532856666666664,-0.0659162258064516,-0.0702883870967742,-0.08531663333333335,-0.07548883333333332,-0.05960856666666667,-0.0682098,-0.06435830000000001
2010-06-30,-0.08447933333333335,-0.05833141935483872,-0.04821310000000001,-0.0673664,-0.08943203333333336,-0.07310563333333334,-0.060051799999999995,-0.02955544827586207,-0.017080166666666667,-0.02424833333333333
2010-07-31,0.09262993333333333,0.09148335483870967,0.09161651612903227,0.09196025806451615,0.05638876666666668,0.08047003333333333,0.03503756666666666,0.05328579310344829,0.0582826,0.04361426666666667
2010-08-31,-0.0787211,-0.06354670967741935,-0.043123741935483885,-0.025920099999999998,-0.050446709677419356,-0.04589332258064515,-0.05870913333333334,-0.027939266666666667,-0.023002166666666664,-0.017663033333333338
2010-09-30,0.1093756,0.13786838709677418,0.10667922580645162,0.11734064516129032,0.11092045161290323,0.10099738709677421,0.09438,0.10385346666666667,0.057466300000000005,0.04682356666666667
2010-10-31,0.02342133333333334,0.03599293548387098,0.028513387096774194,0.047894666666666655,0.03821525806451613,0.049921354838709665,0.04860574193548387,0.02814816129032258,0.03930963333333334,0.029673866666666666
2010-11-30,0.006278866666666668,-0.008977516129032255,0.024561741935483876,0.010579999999999999,0.013891833333333332,0.010068199999999998,-0.013373333333333333,0.010428366666666666,0.022216466666666667,0.026203966666666672
2010-12-31,0.08693139999999998,0.09688841935483872,0.07914866666666667,0.10472222580645162,0.06506056666666665,0.060558766666666666,0.032207400000000004,0.049485433333333335,0.03845693333333333,0.057529699999999996
2011-01-31,0.05064706666666667,0.021622645161290324,0.02255783870967742,0.030867225806451612,0.006116233333333332,0.008350833333333333,0.021918448275862066,0.025131,0.01230596666666667,0.010893500000000004
2011-02-28,0.04338109999999999,0.03729458064516129,0.05678545161290322,0.03280866666666667,0.02819906666666666,0.03938306666666667,0.04371603333333333,0.005631633333333334,0.028568133333333336,0.029275499999999996
2011-03-31,-0.001340066666666667,0.016655225806451613,0.013637741935483873,0.007843033333333334,-0.0029568333333333343,0.0004332666666666663,0.017748799999999995,0.007754633333333333,0.017860655172413795,0.006052033333333333
2011-04-30,0.013990266666666668,0.026617387096774192,0.030073870967741934,0.03558609677419355,0.012844999999999999,0.01693648387096774,0.03831935483870968,0.030512741935483874,0.04207216666666666,0.040606733333333325
2011-05-31,-0.035993387096774195,-0.016391967741935486,-0.015175258064516129,-0.0054351290322580655,-0.0044090000000000015,-0.013715806451612907,-0.020973258064516134,0.005431193548387096,0.011823266666666665,0.019986129032258066
2011-06-30,-0.038250193548387094,-0.02398553125,-0.0076406774193548375,-0.01573077419354839,-0.017974774193548385,-0.023979741935483866,-0.014127677419354839,-0.025573935483870967,-0.013416733333333332,0.0001248064516129032
2011-07-31,-0.056767032258064516,-0.027824812499999997,-0.03956535483870968,-0.0497185625,-0.0493380625,-0.021567354838709675,-0.027384129032258064,-0.02570509677419355,-0.040614032258064516,-0.003310419354838709
2011-08-31,-0.0855932258064516,-0.0795183870967742,-0.0949791935483871,-0.07131890322580646,-0.053648290322580644,-0.03756996774193549,-0.038650333333333335,-0.02930835483870968,-0.0538203870967742,-0.033107322580645165
2011-09-30,-0.13992209677419354,-0.09562271875,-0.10702851612903225,-0.09828877419354838,-0.08059851612903225,-0.09080374193548386,-0.07997548387096773,-0.06090556666666667,-0.035262903225806455,-0.027195096774193548
2011-10-31,0.16660455172413796,0.13991816129032256,0.1604022258064516,0.12215012903225807,0.12479603225806452,0.10194896774193549,0.10316819354838709,0.1043509677419355,0.1397602666666667,0.0931658
2011-11-30,0.000311333333333333,-0.022196333333333332,0.007356483870967741,0.010672935483870974,0.015371129032258067,-0.029905870967741936,-0.004614838709677418,-0.021247533333333336,-0.017423566666666664,0.0108392
2011-12-31,0.0006374000000000001,0.005723966666666666,-0.005115096774193547,0.0037821935483870976,-0.005141290322580648,-0.0011909999999999996,0.012986903225806453,-0.007530966666666668,0.0018692666666666668,0.0021961666666666666
2012-01-31,0.06677931034482758,0.06341079310344827,0.043643799999999996,0.10122013333333335,0.05424799999999999,0.06934983333333332,0.0236635,0.055738166666666665,0.05607170000000001,0.06701363333333334
2012-02-29,0.009663766666666667,0.026943193548387104,0.027223517241379305,0.032406833333333336,0.05390366666666667,0.04315113333333334,0.03840653333333333,0.07003803333333333,0.04342186666666667,0.042587733333333336
2012-03-31,0.024763366666666668,0.017096482758620687,0.012794999999999999,0.00958966666666667,0.019314766666666663,0.04903393333333333,0.047320499999999995,0.02691416666666667,0.0437285,0.03221566666666666
2012-04-30,0.0022766333333333346,-0.002483806451612903,-0.0070593548387096776,-0.008117612903225806,-0.0005921666666666664,-0.010976774193548386,-0.008108900000000002,-0.004765233333333335,-0.002011413793103449,-0.002012133333333331
2012-05-31,-0.09732427586206897,-0.06152261290322581,-0.0684802258064516,-0.06492645161290322,-0.05636345161290324,-0.06412413333333333,-0.037478483870967735,-0.0336476129032258,-0.05195343333333334,-0.05833833333333334
2012-06-30,0.047550935483870974,0.040738800000000006,0.024362870967741937,0.005387677419354838,0.04610370967741936,0.03674806666666666,0.03266838709677419,0.046056709677419365,0.025473774193548387,0.020296193548387097
2012-07-31,0.019423032258064517,0.014632677419354841,-0.0001735312500000005,0.00890015625,-0.0151445625,0.015514129032258066,-0.0003863750000000013,-0.009232580645161286,0.0006027741935483869,-0.00022250000000000072
2012-08-31,0.01959853333333333,0.05214075,0.023532687500000003,0.02840171875,0.0335148125,0.017202750000000003,0.00953128125,0.025673966666666662,0.022068433333333328,0.02434354838709677
2012-09-30,0.022244645161290322,0.01664423333333333,0.02942709375,0.014543781250000002,0.03626590625,0.014084750000000002,0.032344187499999996,0.017935187499999998,0.012400199999999997,0.024097612903225804
2012-10-31,-0.00921109677419355,-0.011076548387096775,0.010906843750000002,-0.02302954838709678,-0.009101468749999998,0.002796968750000001,-0.010013375000000001,-0.009162468750000001,-0.025500699999999998,0.0072434838709677435
2012-11-30,0.01842878125,0.013327272727272726,0.01917115625,0.0137945,0.038715593750000006,0.0119316875,0.028733499999999995,0.011516354838709678,-0.013471437500000003,-0.02143087096774193
2012-12-31,0.006400000000000001,0.01879409375,0.04066687878787879,0.033828787878787875,0.01936603125,0.02146909677419355,0.019038812500000002,0.01107471875,0.0117994375,0.0025934374999999994
2013-01-31,0.07879770967741934,0.058923249999999996,0.06029115625,0.0763953125,0.0597145,0.059029687500000004,0.0748660625,0.074483375,0.07097816129032257,0.0466544193548387
2013-02-28,-0.0017808437500000003,0.007288406250000002,0.009190878787878788,0.014214,0.006406718750000001,0.01981254838709677,0.032095312499999994,0.022852843750000004,-0.0007082812499999984,0.01090477419354839
2013-03-31,0.0347533125,0.04830754545454546,0.04217472727272727,0.0563379393939394,0.0467028,0.034307937499999996,0.023711406249999997,0.03989896875,0.048154593749999995,0.04623990322580645
2013-04-30,0.0031500322580645147,0.019301000000000002,-0.007165393939393939,0.014712303030303027,0.017663187499999997,0.013544281250000002,0.024469062500000003,0.0173261875,0.02857516129032258,0.029177806451612907
2013-05-31,0.04616453125,0.02709718181818182,0.04632221874999999,0.05258200000000001,0.03452790909090909,0.02518421875,0.04184681818181818,0.01505275,0.00614328125,-0.05398845161290323
2013-06-30,-0.0403928064516129,-0.015189666666666664,-0.014268575757575758,-0.026494848484848482,-0.010636363636363638,0.004397060606060605,0.0037237812500000005,-0.00806803125,0.0008529687500000004,-0.014719031250000002
2013-07-31,0.05480578125,0.06646354545454547,0.06351553125,0.07302700000000001,0.0615488125,0.06555260606060606,0.052234787878787874,0.04866321875,0.049466375,0.03793799999999999
2013-08-31,-0.011245031249999999,-0.025108235294117646,-0.02647026470588235,-0.01616867647058824,-0.01841530303030303,-0.03727063636363637,-0.031570151515151516,-0.035435545454545456,-0.036928303030303034,-0.03365828125
2013-09-30,0.026676343749999998,0.03243006060606061,0.049397352941176476,0.0329299705882353,0.03150596969696969,0.03359687878787878,0.04048278787878788,0.04871512121212121,0.042454969696969706,0.054867875
2013-10-31,0.050853468750000005,0.03798758823529411,0.04044947058823529,0.041487969696969704,0.06657006060606059,0.04265512121212122,0.02788466666666667,0.036119303030303036,0.04915387878787879,0.044555281249999995
2013-11-30,0.029694848484848487,0.05429717647058824,0.03914215151515152,0.03973470588235294,-0.006729939393939392,0.03941045454545455,0.027016818181818184,0.01856551515151515,0.0262510303030303,0.006838468749999998
2013-12-31,0.04389240625,0.028023000000000003,0.028855823529411767,0.027976558823529413,0.02366729411764706,0.01585997058823529,0.04588124242424242,0.030058205882352942,0.007940258064516129,0.013593969696969698
2014-01-31,-0.02016818181818182,-0.009005057142857145,-0.0400605,-0.029251294117647056,-0.03756397142857143,-0.02111117142857143,-0.024365371428571432,-0.024076171428571432,-0.02067941176470588,-0.022948515151515154
2014-02-28,0.053056529411764704,0.06998847058823529,0.04648028571428572,0.06260954285714286,0.03954903030303031,0.05429832352941177,0.053726294117647067,0.04675658823529411,0.04099912121212121,0.04480003030303031
2014-03-31,0.00480030303030303,0.01861851428571428,0.023179323529411763,0.01730474285714285,0.0029388571428571437,-0.0012890882352941178,0.0255930294117647,0.005763764705882352,-0.0024262424242424254,-0.017656363636363637
2014-04-30,-0.0007438823529411784,2.7742857142857332e-05,0.010225705882352939,0.0055833428571428565,0.010044352941176468,-0.018291257142857145,-0.01567964705882353,-0.02611890909090909,-0.0030319705882352922,0.0073391212121212135
2014-05-31,0.013102942857142854,0.015635735294117645,0.008769885714285714,0.030367205882352945,0.03204917142857143,0.03262826470588236,0.037655971428571425,0.023793171428571427,0.01822577142857143,0.010527545454545454
2014-06-30,0.04353438235294118,0.04300459999999999,0.02880117647058824,0.030772257142857144,0.0282384,0.032006428571428575,0.009540485714285717,0.016919088235294116,0.036078529411764704,0.015177121212121211
2014-07-31,-0.044513882352941174,-0.023546171428571426,-0.018792228571428576,-0.0230022,-0.019111088235294123,-0.01644422857142857,-0.024037857142857142,-0.031194575757575754,-0.023436628571428572,-0.032918696969696966
2014-08-31,0.048276878787878785,0.04954722857142857,0.037816742857142864,0.0433068,0.04949655882352941,0.05756779999999999,0.06321517142857143,0.025832371428571428,0.0528519375,0.04724793939393939
2014-09-30,-0.05070029411764705,-0.02595574285714286,-0.02530470588235294,-0.0339144,-0.010299764705882354,-0.005140257142857142,-0.01911088571428571,-0.010449147058823528,-0.010358764705882352,-0.012582656250000001
2014-10-31,0.00163817142857143,0.025634499999999998,0.027616514285714284,0.013371833333333333,0.042362823529411765,0.034234971428571424,0.028510057142857145,0.05095477142857143,0.043556558823529413,0.040596312499999995
2014-11-30,0.032119545454545456,0.008772828571428573,0.02824802857142857,0.03166780000000001,0.03708334285714286,0.042896852941176476,0.021110857142857146,0.033715617647058826,0.012513314285714287,0.042570343749999996
2014-12-31,-0.023828500000000002,0.0028077428571428578,0.0038599999999999984,0.004668628571428573,0.009015264705882351,0.00770105714285714,0.012741454545454545,0.009426771428571429,0.005370147058823528,0.009926882352941176
2015-01-31,-0.01928117647058824,-0.0034721142857142865,-0.026014742857142857,-0.018347588235294116,-0.04318537142857142,-0.022017600000000002,-0.025955714285714287,-0.04558744117647059,-0.04219520588235295,-0.04351491176470588
2015-02-28,0.0651900909090909,0.08877879411764707,0.08706814285714286,0.09280194285714286,0.07667151428571427,0.07020688571428572,0.04002491428571428,0.04310808823529411,0.032642606060606066,0.02521946875
2015-03-31,-0.004561030303030303,-0.010773117647058824,-0.021917114285714284,0.0033434411764705885,-0.005571857142857142,-0.008589636363636364,-0.0023119428571428562,-0.010277971428571427,-0.011709,0.0029163235294117646
2015-04-30,0.011829852941176474,-0.018382194444444448,0.019636972222222222,0.019064138888888884,-0.007208942857142857,0.005328399999999999,-0.01062108823529412,0.00839532352941176,-0.009405636363636363,-0.020816235294117646
2015-05-31,0.011814470588235294,0.02407666666666667,0.024682142857142857,0.017623828571428576,0.014930914285714289,0.011653257142857145,0.029583714285714293,-8.219444444444782e-05,0.012872057142857139,0.00613088888888889
2015-06-30,-0.04452305714285714,-0.03375254054054054,-0.02409256756756757,-0.024883777777777775,-0.023572888888888886,-0.021736888888888885,-0.0013981176470588238,-0.0018521111111111114,-0.002547382352941178,-0.004552823529411763
2015-07-31,0.03506959999999999,-0.006126583333333332,0.0177712,0.007163444444444443,-0.004001916666666667,0.02022291666666667,0.022515571428571426,0.007684,0.016617542857142856,0.032914
2015-08-31,-0.046953777777777775,-0.043611027777777776,-0.04977310810810811,-0.05060420000000001,-0.03866752777777778,-0.05295171428571428,-0.05949270588235295,-0.059500777777777784,-0.05798697222222223,-0.06749894117647058
2015-09-30,-0.03384797142857143,-0.034979027777777776,-0.014067916666666668,-0.03312008823529412,-0.031324333333333336,-0.02763922222222222,-0.03701244444444444,-0.03510711428571429,-0.03733608333333334,-0.055035228571428584
2015-10-31,0.07164583333333334,0.06319079411764705,0.07071402777777779,0.07359308571428573,0.06501925714285714,0.05300785714285714,0.056318083333333324,0.07901311111111113,0.04645391428571429,0.06444214705882353
2015-11-30,-0.014634000000000001,0.013111500000000003,0.013780485714285714,0.008950305555555555,0.008173085714285717,-0.004177514285714285,-0.0081606,0.006694942857142858,0.026472428571428574,0.007373941176470588
2015-12-31,-0.020707833333333335,-0.002171885714285713,-0.031023428571428577,-0.013956971428571429,-0.026278571428571432,-0.025611057142857146,-0.022766305555555554,-0.0480838,-0.030555657142857143,-0.02900658823529412
2016-01-31,-0.047893222222222226,-0.07318661111111112,-0.043027750000000003,-0.06528491666666668,-0.07996185714285715,-0.057957416666666664,-0.06956105714285714,-0.03289991666666667,-0.0715199393939394,-0.074966375
2016-02-29,0.044049805555555564,0.011471749999999998,0.019012888888888888,0.0028702285714285714,0.0065891428571428585,0.02516574285714286,0.013940909090909089,-0.004088228571428571,0.002894028571428572,-0.012452060606060605
2016-03-31,0.06005527777777776,0.06735294444444445,0.06411934285714287,0.09074957142857142,0.06670566666666668,0.07458057142857144,0.0684515142857143,0.08765790625,0.08806874285714285,0.061691411764705884
2016-04-30,0.021522416666666662,0.00951664705882353,0.01974097142857143,0.023286457142857143,0.004462944444444444,0.014405083333333334,-0.016410088235294117,0.015397151515151513,-0.0022284571428571424,0.02604688571428572
2016-05-31,0.02107125,0.013399138888888886,0.028269971428571426,0.004158694444444445,0.024014171428571426,0.008177176470588236,0.018599029411764705,0.01054614705882353,0.011948969696969697,-0.0027977941176470585
2016-06-30,0.01862744444444445,0.011014657142857145,0.014776916666666667,-0.0019093333333333323,-0.014949285714285712,-0.014101657142857141,-0.011728571428571428,-0.025873281249999998,0.018576000000000002,-0.01951560606060606
2016-07-31,0.04385636111111112,0.053806833333333325,0.06166680555555556,0.06481385714285715,0.05259077142857143,0.04817202857142857,0.05452672727272727,0.014172142857142855,0.029475323529411762,0.02517139393939394
2016-08-31,-0.013432714285714287,-0.014254055555555553,0.025244333333333334,0.017604085714285716,0.0004123888888888895,-0.00552545714285714,0.009891800000000001,0.025865176470588235,-0.005872499999999998,0.0037332941176470586
2016-09-30,-0.01128577142857143,-0.008957611111111109,0.002783805555555557,0.012903571428571431,-0.0011215000000000005,-0.004414428571428572,-0.004919228571428571,0.0205644,-0.009998749999999999,0.008140742857142856
2016-10-31,-0.014274514285714288,-0.0006481388888888891,-0.01111982857142857,-0.01320347222222222,-0.03357466666666667,-0.04370780555555556,-0.016618514285714286,-0.031043771428571423,-0.014288305555555556,-0.013071529411764704
2016-11-30,0.07528619444444445,0.06663456756756757,0.06493937142857142,0.03128772972972972,0.02387508823529412,0.03918622222222223,0.05774654285714286,0.0751476388888889,0.04856452777777778,0.03061225
2016-12-31,0.023173527777777776,0.01492708108108108,0.011439027777777779,0.011890027777777777,0.007515472222222224,0.014960527777777781,-0.0002468857142857128,0.011917514285714284,0.021259749999999997,0.011774542857142856
2017-01-31,0.038706289473684215,0.03265907894736841,0.0022724594594594597,0.02577502702702703,0.041035194444444444,0.02074485714285714,0.031983750000000005,0.020278685714285715,0.0065825,0.025026882352941177
2017-02-28,0.016483081081081083,0.04088272972972973,0.0390863888888889,0.018782916666666663,0.04345256756756756,0.03446067567567567,0.053369200000000006,0.05733851428571428,0.03745539999999999,0.020612272727272726
2017-03-31,-0.008209432432432433,-0.0004691891891891909,0.0028825405405405406,0.003314083333333333,-0.004276702702702703,-0.006344756756756756,-0.002534722222222221,-9.960000000000033e-05,-0.004725606060606061,0.0037565151515151518
2017-04-30,-0.0069014594594594605,0.00870835135135135,0.026294583333333333,0.018012756756756756,0.01730725,-0.0032110277777777775,0.008980147058823528,0.01758983333333333,0.006463999999999998,0.01377711111111111
2017-05-31,-0.024582157894736844,-0.00637563157894737,0.01398135135135135,0.02141455263157895,0.010651486486486485,0.018307342857142854,0.030031216216216215,0.029738055555555563,0.010825000000000001,0.028878257142857137
2017-06-30,0.024438473684210524,0.036698315789473676,0.02091881081081081,0.010104552631578945,0.010705842105263158,0.02775205405405406,-0.014109696969696968,0.012747142857142854,-0.012401142857142855,-0.013894166666666668
